station_code,station_name,division,category,remarks,latitude,longitude
ASN,Asansol,ASN,NSG-2,,23.691441,86.975152
JSME,Jasidih,ASN,NSG-3,,24.514517,86.644255
DGR,Durgapur,ASN,NSG-3,,23.495046000000002,87.297902
MDP,Madhupur,ASN,NSG-4,,24.270633,86.642183
RNG,Raniganj,ASN,NSG-4,,23.602851,87.11698
UDL,Andal,ASN,NSG-4,,23.579012000000002,87.181194
BDME,Baidyanathdham,ASN,NSG-4,,24.4892623,86.6920701
DGHR,Deoghar,ASN,NSG-4,,24.51178242,86.69712126
BSKH,Basukinath,ASN,NSG-4,,24.388941000000003,87.045099
CRJ,Chittaranjan,ASN,NSG-5,,23.857138000000003,86.878036
PAN,Panagarh,ASN,NSG-5,,23.443034,87.439587
KMME,Kumardhubi,ASN,NSG-5,,23.747453,86.794065
JMT,Jamtara,ASN,NSG-5,,23.958904,86.805183
SURI,Siuri,ASN,NSG-5,,23.890185,87.5327
DUMK,Dumka,ASN,NSG-5,,24.289527,87.254975
GRD,Giridih,ASN,NSG-5,,24.182255899999998,86.3146452
BRR,Barakar,ASN,NSG-5,,23.7416829,86.818859
STN,Sitarampur Jn,ASN,NSG-5,,23.723864,86.896472
STL,Simultala,ASN,NSG-5,,24.713365,86.541782
ULT,Kulti,ASN,NSG-5,,23.737816,86.84886999999999
VDS,Vidyasagar,ASN,NSG-5,,24.103820000000002,86.69841500000001
MNAE,Mankar,ASN,NSG-5,,23.420373,87.555822
PAW,Pandabeswar,ASN,NSG-5,,23.711965,87.277416
UKA,Ukhra,ASN,NSG-5,,23.653692,87.232537
BBI,Baraboni,ASN,NSG-6,,,
BCQ,Barachak,ASN,NSG-6,,23.706726,86.92813299999999
BMGA,Bhimgarh,ASN,NSG-6,,23.73804814,87.28427905
CNDN,Chandan,ASN,NSG-6,,24.6134885,86.6755127
CAM,Chota ambona,ASN,NSG-6,,23.762753179999997,86.57461305
CPLE,Chinpai,ASN,NSG-6,,23.839677000000002,87.46063699999999
DUJ,Dubrajpur,ASN,NSG-6,,23.803358,87.378973
GLI,Galsi,ASN,NSG-6,,23.358032,87.681236
GRMA,Ghoramara,ASN,NSG-6,,24.442298,86.86392
JGD,Jagdishpur,ASN,NSG-6,,24.273027000000003,86.525172
KAO,Kalubathan,ASN,NSG-6,,23.758149,86.661294
KBQ,Kumrabad Rohini,ASN,NSG-6,,24.467308,86.64534800000001
KJME,Kajoragram,ASN,NSG-6,,23.615327,87.18466500000001
KNRI,Kunuri,ASN,NSG-6,,23.9163057543,87.6115177704
KPK,Kalipahari,ASN,NSG-6,,23.6652,87.01593
LHB,Lahabon,ASN,NSG-6,,24.6403400956,86.6001380908
MMD,Maheshmunda,ASN,NSG-6,,24.232416,86.38903300000001
MMU,Mugma,ASN,NSG-6,,23.751414,86.747614
MNC,Madankatta,ASN,NSG-6,,24.140881,86.70195
MUW,Mathurapur,ASN,NSG-6,,24.386518000000002,86.631692
OYR,Waria,ASN,NSG-6,,23.537562,87.246177
PAJ,Paraj,ASN,NSG-6,,23.387863,87.62750500000001
PCR,Panchra,ASN,NSG-6,,23.771990000000002,87.330151
RBH,Rajbandh,ASN,NSG-6,,23.476136,87.372314
RNPR,Rupnarainpur,ASN,NSG-6,,23.818703000000003,86.885481
SLS,Salanpur,ASN,NSG-6,,23.760355,86.876395
SNQ,Sankarpur,ASN,NSG-6,,24.427623,86.637552
SSNR,Sonachara,ASN,NSG-6,,24.49030743,86.68168063
TNW,Thaparnagar,ASN,NSG-6,,23.769198,86.70137
TOP,Tapasi,ASN,NSG-6,,,
RAJLA,Rajla,ASN,HG-2,,24.7556576,86.4227203
JMA,Jamuria,ASN,HG-2,,23.7136229,87.0718471
JRW,Joramow,ASN,HG-2,,24.201663,86.707773
KQX,Kochujor,ASN,HG-2,,23.841224628400003,87.46277400209999
KEE,Kasitanr,ASN,HG-2,,24.004444,86.75251
KBSH,K.B.Sahai halt,ASN,HG-2,,24.255819,86.482965
KTOR,Katoriya,ASN,HG-2,,24.7407247,86.7292142
NRGO,Narganjo,ASN,HG-2,,24.7439751193,86.4578033173
SXD,Siduli,ASN,HG-2,,23.6493523213,87.21232632290001
TELWA,Telwabazar,ASN,HG-2,,,
BHAU,Bhalua Halt,ASN,HG-3,,,
CNPI,Chandanpahari,ASN,HG-3,,24.404224,86.953082
CCR,Chinchuria,ASN,HG-3,,,
DPDH,Dhanpatdih,ASN,HG-3,,24.417131,86.9150667
